num_employe INTEGER,nom TEXT,prenom TEXT,genre TEXT,date_naissance DATE,adresse TEXT,entreprise TEXT,job_title TEXT,salary INTEGER,hire_date DATE,regime_travail TEXT
8319,Dubois,Hugo,Femme,1977-07-21,"182, chemin Humbert, Michaud-la-Forêt",Ministère de la Défense,Directeur de Cabinet,126499,2020-04-15,Spécial
4235,Dubois,Jean,Femme,1955-11-09,"158, avenue Pascal, Carre",Ministère de l'Éducation nationale,Ambassadeur,133976,2000-11-08,Mandat plein
1659,Garcia,Sophie,Homme,1953-12-04,"23, rue de Bouchet, Le Gall",Ministère de l'Agriculture,Directeur de Cabinet,175509,2020-09-09,Partiel
5075,David,Thomas,Homme,1966-08-04,"125, rue Auguste De Sousa, Michaud-la-Forêt",Ministère de l'Économie et des Finances,Haut-Commissaire,124720,2014-06-09,Partiel
2883,Garcia,Alexandre,Homme,1985-04-11,"136, rue Peron, Michaud-la-Forêt",Ministère de l'Intérieur,Haut-Commissaire,107264,2003-11-30,Spécial
6300,Dubois,Marie,Homme,1976-12-17,"112, rue Auguste De Sousa, Gonzalez-la-Forêt",Ministère de l'Éducation nationale,Secrétaire d'État,97275,2020-03-09,Partiel
4900,Simon,Thomas,Femme,1980-07-20,"192, rue Auguste De Sousa, Sainte Nathalie",Ministère de la Justice,Secrétaire d'État,88021,2005-05-12,Mandat plein
2950,Simon,Alice,Femme,1962-11-21,"137, rue Peron, Weiss",Ministère de la Transition écologique,Directeur de Cabinet,163483,2001-02-11,Partiel
9147,Garcia,Marie,Homme,1977-08-31,"31, avenue Pascal, Carre",Ministère de la Culture,Ministre,114344,2016-03-18,Partiel
5127,Morel,Alice,Homme,1956-07-03,"99, rue Torres, Weiss",Ministère de la Culture,Secrétaire d'État,181916,2002-02-11,Partiel
8075,Petit,Emilie,Femme,1969-06-03,"110, avenue Pascal, Sainte Nathalie",Ministère des Affaires étrangères,Conseiller Spécial,173013,2015-08-31,Mandat plein
4634,Garcia,Hugo,Homme,1962-12-24,"154, rue Peron, Weiss",Ministère de la Transition écologique,Conseiller Spécial,87485,2015-01-21,Spécial
7851,Durand,Marie,Femme,1973-12-21,"83, rue Auguste De Sousa, Le Gall",Ministère de la Transition écologique,Conseiller Spécial,115274,2016-10-23,Partiel
9557,Bernard,Emilie,Homme,1955-03-27,"181, rue Frédérique Faure, Sainte Nathalie",Ministère de l'Intérieur,Haut-Commissaire,107017,2005-04-08,Spécial
9075,Garcia,Jean,Femme,1979-06-14,"165, rue Torres, DenisBourg",Ministère de l'Intérieur,Ambassadeur,126779,2008-05-18,Partiel
6651,David,Sophie,Femme,1959-04-08,"123, chemin Humbert, Sainte Nathalie",Ministère de l'Intérieur,Haut-Commissaire,156408,2003-09-23,Spécial
1349,Dubois,Jean,Homme,1980-01-01,"173, chemin Humbert, DenisBourg",Ministère de l'Économie et des Finances,Ministre,113137,2010-10-26,Partiel
5344,Laurent,Alexandre,Homme,1982-03-25,"150, chemin Humbert, Carre",Ministère de la Transition écologique,Ministre,93978,2009-08-25,Partiel
5774,Garcia,Marie,Homme,1981-09-26,"127, rue Alix Roy, DenisBourg",Ministère de la Justice,Directeur de Cabinet,124060,2019-03-22,Mandat plein
8599,Durand,Alice,Femme,1978-09-05,"47, rue Auguste De Sousa, DenisBourg",Ministère des Affaires étrangères,Secrétaire d'État,142308,2011-02-25,Spécial
7510,Laurent,Claire,Femme,1978-09-15,"95, rue Alix Roy, Weiss",Ministère de la Santé,Ministre,116593,2005-08-06,Partiel
9266,David,Jean,Homme,1950-10-25,"22, rue Alix Roy, Gonzalez-la-Forêt",Ministère de l'Agriculture,Ambassadeur,180854,2008-01-08,Partiel
1215,Garcia,Claire,Femme,1966-08-17,"177, rue Frédérique Faure, Michaud-la-Forêt",Ministère de l'Économie et des Finances,Secrétaire d'État,180855,2001-07-04,Spécial
6136,Garcia,Julien,Homme,1961-01-24,"176, rue Frédérique Faure, Carre",Ministère de la Culture,Directeur de Cabinet,83775,2003-04-25,Spécial
6644,Morel,Jean,Femme,1984-06-16,"56, rue Alix Roy, Sainte Nathalie",Ministère de la Culture,Ministre,104835,2018-08-27,Mandat plein
4077,Garcia,Emilie,Femme,1968-09-04,"17, rue Auguste De Sousa, Le Gall",Ministère des Affaires étrangères,Secrétaire d'État,198069,2017-12-09,Mandat plein
1426,Durand,Emilie,Femme,1983-07-10,"93, rue Frédérique Faure, Sainte Nathalie",Ministère de l'Intérieur,Conseiller Spécial,193029,2015-02-25,Spécial
